age,depth,d13C,d18O
19.1876,23.3744905,-8.14114,-11.27155687
19.1994,23.4229205,-9.35595,-10.60333157
19.2114,23.4713505,-7.73557,-9.66439639
19.2235,23.5197805,-7.47069,-10.23528374
19.2358,23.5682105,-7.17853,-9.07634856
19.2484,23.6166405,-6.90426,-10.24759085
19.2612,23.6650705,-8.03483,-8.95865567
19.2742,23.7135005,-7.41018,-10.15972049
19.2874,23.7619305,-6.69392,-10.01096278
19.3287,23.9072205,-7.82192,-10.16533304
19.343,23.9556505,-7.71129,-10.35691476
19.3728,24.0536505,-7.47166,-10.2400782
19.388,24.1020805,-7.1085,-9.71165992
19.4036,24.1505105,-6.58456,-9.78350526
19.4194,24.1989405,-6.49031,-10.31508698
